,Mkt-RF,SMB,HML,RMW,CMA,RF
2016-09-13,-1.48,-0.3,-0.43,0.55,-0.7,0.001
2016-09-14,-0.08,0.06,-0.81,0.09,-0.45,0.001
2016-09-15,1.08,0.3,-0.32,0.06,-0.21,0.001
2016-09-16,-0.36,0.29,-0.45,0.21,-0.19,0.001
2016-09-19,0.05,0.51,0.15,-0.08,0.36,0.001
2016-09-20,-0.02,-0.35,-0.41,-0.55,-0.1,0.001
2016-09-21,1.12,0.21,0.33,-0.4,0.52,0.001
2016-09-22,0.7,0.81,-0.06,0.08,0.11,0.001
2016-09-23,-0.6,-0.05,-0.21,0.53,-0.52,0.001
2016-09-26,-0.88,-0.3,-0.35,-0.15,0.17,0.001
2016-09-27,0.64,-0.13,-0.49,-0.04,-0.38,0.001
2016-09-28,0.56,0.23,1.1,-0.9,1.15,0.001
2016-09-29,-0.98,-0.39,0.52,0.28,0.67,0.001
2016-09-30,0.88,0.43,0.34,-0.2,0.1,0.001
2016-10-03,-0.26,-0.04,-0.13,0.02,0.17,0.001
2016-10-04,-0.46,0.06,0.15,0.11,-0.31,0.001
2016-10-05,0.58,0.42,0.79,-0.48,0.44,0.001
2016-10-06,-0.06,-0.23,0.29,0.44,0.23,0.001
2016-10-07,-0.38,-0.54,0.2,-0.28,-0.35,0.001
2016-10-10,0.52,0.57,0.04,-0.55,-0.19,0.001
2016-10-11,-1.3,-0.57,0.45,0.39,0.08,0.001
2016-10-12,0.06,-0.22,0.35,0.67,0.14,0.001
2016-10-13,-0.42,-0.74,-0.64,0.33,-0.15,0.001
2016-10-14,0.01,-0.35,0.58,0.07,0.1,0.001
2016-10-17,-0.29,-0.02,0.16,0.1,0.11,0.001
2016-10-18,0.6,-0.16,0.04,-0.3,-0.31,0.001
2016-10-19,0.25,0.13,0.94,-0.11,0.49,0.001
2016-10-20,-0.16,-0.04,-0.12,-0.48,-0.02,0.001
2016-10-21,0.02,-0.18,-0.32,0.17,-0.17,0.001
2016-10-24,0.54,0.06,-0.18,0.59,-0.49,0.001
2016-10-25,-0.46,-0.6,0.22,0.01,-0.02,0.001
2016-10-26,-0.23,-0.73,0.71,0.12,0.51,0.001
2016-10-27,-0.33,-0.94,0.56,-0.11,0.02,0.001
2016-10-28,-0.29,-0.14,0.11,-0.13,0.36,0.001
2016-10-31,0.02,0.1,0.1,0.48,-0.34,0.001
