,SPX|DAILY_RETURNS,QGREEN|DAILY_RETURNS,F3OILG|DAILY_RETURNS,SXEP|DAILY_RETURNS,SXWESGU|DAILY_RETURNS,RENIXX|DAILY_RETURNS,CELS|DAILY_RETURNS,ECO|DAILY_RETURNS,SPGTCED|DAILY_RETURNS,DJ_OIL_AND_GAS|DAILY_RETURNS
2016-09-13,-1.48,-1.05,-1.53,-2.82,-0.99,-1.09,-1.96,-2.9,-1.59,-2.94
2016-09-14,-0.06,-0.13,-0.83,-0.68,-0.18,-0.67,-0.9,-1.61,-1.3,-1.21
2016-09-15,1.01,0.67,0.27,0.27,0.51,0.0,1.35,0.82,0.37,1.11
2016-09-16,-0.38,-0.54,-0.34,-1.39,-0.96,-0.52,-0.01,-0.6,-0.5,-0.83
2016-09-19,0.0,0.82,1.69,1.45,1.02,0.99,1.1,1.13,1.46,-0.08
2016-09-20,0.03,-0.18,-0.51,-0.9,-0.17,0.65,-0.64,0.18,0.29,-0.87
2016-09-21,1.09,0.88,0.24,0.3,0.71,0.3,1.31,1.4,0.79,2.22
2016-09-22,0.65,1.47,1.83,2.35,2.11,1.02,1.71,1.9,1.6,0.31
2016-09-23,-0.57,-0.69,0.42,-0.65,-0.7,0.91,-0.66,-0.03,-0.76,-1.39
2016-09-26,-0.86,-0.6,-1.32,-1.55,-0.88,-1.45,-0.98,-0.7,-1.15,-0.41
2016-09-27,0.64,0.13,-1.73,-1.44,-0.43,0.09,1.19,1.24,0.44,-0.58
2016-09-28,0.53,0.54,0.65,0.71,0.51,0.56,0.74,1.28,0.23,4.46
2016-09-29,-0.93,-0.41,5.85,4.35,0.59,0.85,-0.94,-1.16,0.01,0.05
2016-09-30,0.8,0.54,-0.6,-0.4,0.27,-0.76,1.23,0.68,-2.43,1.3
2016-10-03,-0.33,-0.16,2.06,0.5,-0.15,0.0,-0.19,0.5,0.5,-0.18
2016-10-04,-0.5,-0.57,2.41,1.64,-0.04,0.65,-1.14,-1.48,-0.75,-0.99
2016-10-05,0.43,0.04,1.1,0.52,-0.08,-0.05,1.08,2.13,1.07,1.51
2016-10-06,0.05,-0.2,0.08,-0.01,-0.27,0.18,0.01,0.12,0.13,0.16
2016-10-07,-0.33,-0.66,2.3,-0.05,-0.66,-2.22,-1.74,-1.91,-1.54,-0.51
2016-10-10,0.46,0.29,2.25,1.93,0.49,-2.22,0.69,1.48,0.66,1.59
2016-10-11,-1.24,-1.26,-0.99,-1.46,-1.26,-0.53,-1.88,-1.9,-1.57,-1.15
2016-10-12,0.11,-0.27,-0.79,0.04,-0.62,0.54,-0.34,-0.53,-0.2,-0.45
2016-10-13,-0.31,-0.39,-0.3,-0.58,-0.56,-0.85,-0.5,-0.28,0.22,-0.59
2016-10-14,0.02,0.25,0.68,1.52,0.78,0.89,0.07,-0.33,0.79,-0.49
2016-10-17,-0.3,-0.27,-1.52,-1.17,-0.48,0.23,-0.51,-0.41,-0.24,-0.47
2016-10-18,0.62,0.85,0.23,1.11,1.23,0.98,1.18,0.84,0.98,0.37
2016-10-19,0.22,0.3,0.94,0.79,0.43,1.46,0.49,1.54,0.43,1.4
2016-10-20,-0.14,-0.23,0.16,0.39,-0.19,-0.18,0.12,0.15,-0.31,-0.11
2016-10-21,-0.01,-0.29,0.1,0.17,-0.38,0.0,-0.01,-0.37,-0.68,-0.64
2016-10-24,0.47,0.5,-0.61,-0.23,0.21,0.0,0.63,-0.17,-0.22,-0.29
2016-10-25,-0.38,-0.71,1.11,0.06,-0.26,-0.51,-0.85,-1.25,-0.84,-0.68
2016-10-26,-0.17,-0.45,-1.75,-1.08,0.11,-0.24,-0.1,-0.51,-0.14,0.21
2016-10-27,-0.3,-0.85,1.44,0.74,-0.38,-0.29,-0.59,-1.27,-0.6,-0.33
2016-10-28,-0.31,0.24,-0.5,-0.54,0.11,-1.16,-0.66,-0.75,-0.75,-0.6
2016-10-31,-0.01,0.42,-1.75,-1.48,0.11,-0.54,0.29,-0.83,0.14,-1.26
2016-11-01,-0.68,-0.95,0.91,-1.16,-0.22,-1.92,-1.15,-1.02,-1.39,0.07
2016-11-02,-0.65,-0.72,-2.27,-2.18,-0.76,-1.53,-1.16,-0.61,-1.81,-1.13
2016-11-03,-0.44,-0.54,-1.05,0.12,-0.14,-1.86,0.57,-1.89,-1.79,0.4
2016-11-04,-0.17,-0.08,-1.04,-0.64,-0.72,-0.39,0.13,0.05,-0.17,-0.51
2016-11-07,2.22,1.58,1.89,1.68,0.97,2.22,1.64,1.79,2.27,2.17
2016-11-08,0.38,0.35,1.1,0.19,0.43,-0.32,0.27,1.17,0.14,-0.04
2016-11-09,1.11,0.14,-0.1,0.19,-0.29,-4.33,-0.81,-1.79,-4.84,1.78
2016-11-10,0.2,0.15,-1.63,0.0,-0.18,-1.14,-0.22,0.38,-1.97,0.26
2016-11-11,-0.14,-0.18,-3.98,-2.16,-0.45,0.02,2.31,2.0,-1.05,-1.64
2016-11-14,-0.01,-0.21,-0.87,-0.84,-0.79,0.55,0.91,0.5,-0.87,0.46
2016-11-15,0.75,0.34,2.97,2.85,0.56,-0.12,0.85,0.1,0.94,2.75
2016-11-16,-0.16,-0.33,-0.62,-0.15,-0.55,-0.12,-0.06,-0.31,-0.05,-0.84
2016-11-17,0.47,0.05,0.93,1.02,0.56,1.49,-0.05,-0.24,-0.18,-0.62
2016-11-18,-0.24,-0.5,-0.25,-0.98,-1.01,0.03,-0.32,0.03,-0.27,0.44
2016-11-21,0.75,0.53,1.64,2.1,0.84,-0.29,0.48,-0.24,-0.07,2.32
2016-11-22,0.22,0.35,0.35,0.27,0.49,0.38,1.56,0.97,0.82,-0.05
2016-11-23,0.08,0.08,-0.04,0.17,-0.51,0.8,1.23,1.14,0.58,0.47
